1	 1	 0	 0	 1.5178	 60	 60	 1	 0
1	 2	 1	 1	 0.7322	 60	 120	 1	 1
1	 3	 0	 1	 2.8424	 60	 180	 1	 0
1	 4	 0	 0	 3.1767	 60	 240	 1	 1
1	 5	 0	 1	 1.9732	 60	 300	 1	 0
1	 6	 0	 1	 2.6585	 60	 360	 1	 0
1	 7	 0	 0	 1.8060	 60	 420	 1	 0
1	 8	 0	 1	 1.5385	 60	 480	 1	 0
1	 9	 0	 1	 3.1266	 60	 540	 1	 1
1	 10	 0	 1	 3.1767	 -60	 480	 0	 1
1	 11	 1	 1	 0.6860	 -60	 420	 0	 0
1	 12	 0	 1	 1.8060	 -60	 360	 0	 0
1	 13	 0	 1	 3.0933	 60	 420	 1	 0
1	 14	 0	 0	 2.9761	 60	 480	 1	 0
1	 15	 0	 1	 1.8729	 60	 540	 1	 1
1	 16	 0	 1	 1.7558	 60	 600	 1	 1
1	 17	 1	 1	 0.7489	 60	 660	 1	 0
1	 18	 0	 0	 0.5523	 60	 720	 1	 1
1	 19	 0	 0	 1.8060	 60	 780	 1	 0
1	 20	 0	 1	 0.5188	 60	 840	 1	 0
1	 21	 0	 1	 1.8896	 60	 900	 1	 0
1	 22	 0	 0	 3.0096	 60	 960	 1	 0
1	 23	 0	 0	 0.5857	 60	 1020	 1	 0
1	 24	 1	 1	 0.6191	 60	 1080	 1	 1
1	 25	 0	 0	 1.8227	 60	 1140	 1	 1
1	 26	 0	 1	 2.9762	 60	 1200	 1	 1
1	 27	 1	 1	 0.6692	 60	 1260	 1	 0
1	 28	 0	 1	 0.5522	 -60	 1200	 0	 0
1	 29	 1	 0	 0.6692	 60	 1260	 1	 0
1	 30	 0	 0	 2.1236	 60	 1320	 1	 1
1	 31	 0	 0	 3.1266	 60	 1380	 1	 1
1	 32	 0	 0	 1.6388	 60	 1440	 1	 1
1	 33	 1	 0	 0.7356	 60	 1500	 1	 0
1	 34	 1	 0	 0.7356	 -60	 1440	 0	 0
1	 35	 0	 1	 1.8561	 60	 1500	 1	 1
1	 36	 1	 1	 1.9898	 60	 1560	 1	 1
2	 1	 0	 1	 3.3606	 60	 1620	 1	 1
2	 2	 1	 0	 0.7648	 60	 1680	 1	 0
2	 3	 0	 1	 2.9260	 60	 1740	 1	 0
2	 4	 0	 0	 1.8729	 60	 1800	 1	 0
2	 5	 1	 1	 0.6525	 -60	 1740	 0	 0
2	 6	 0	 0	 2.3911	 60	 1800	 1	 1
2	 7	 0	 0	 1.7725	 -60	 1740	 0	 1
2	 8	 1	 0	 0.7687	 60	 1800	 1	 0
2	 9	 0	 1	 0.5021	 60	 1860	 1	 1
2	 10	 0	 1	 1.7225	 -60	 1800	 0	 0
2	 11	 0	 1	 1.5218	 60	 1860	 1	 0
2	 12	 1	 0	 0.8124	 -60	 1800	 0	 1
2	 13	 0	 1	 3.1600	 -60	 1740	 0	 0
2	 14	 0	 0	 2.9762	 -60	 1680	 0	 1
2	 15	 0	 1	 0.4185	 60	 1740	 1	 0
2	 16	 0	 1	 0.5522	 -60	 1680	 0	 1
2	 17	 0	 1	 1.7892	 60	 1740	 1	 1
2	 18	 0	 0	 3.0430	 60	 1800	 1	 1
2	 19	 1	 1	 0.6358	 -60	 1740	 0	 0
2	 20	 1	 1	 0.7843	 60	 1800	 1	 1
2	 21	 0	 1	 3.1433	 -60	 1740	 0	 1
2	 22	 0	 1	 3.0932	 60	 1800	 1	 1
2	 23	 0	 0	 3.2603	 -60	 1740	 0	 0
2	 24	 0	 1	 1.7391	 60	 1800	 1	 0
2	 25	 0	 1	 1.8060	 60	 1860	 1	 1
2	 26	 0	 0	 1.8728	 60	 1920	 1	 0
2	 27	 0	 0	 2.8759	 60	 1980	 1	 0
2	 28	 0	 0	 1.8227	 60	 2040	 1	 1
2	 29	 0	 1	 1.8563	 -60	 1980	 0	 1
2	 30	 0	 0	 3.2938	 60	 2040	 1	 0
2	 31	 0	 0	 1.8896	 60	 2100	 1	 1
2	 32	 0	 0	 3.0932	 -60	 2040	 0	 1
2	 33	 0	 -1	 -1.0000	 -60	 1980	 -1	 -1
2	 34	 0	 0	 1.8394	 -60	 1920	 0	 0
2	 35	 0	 1	 0.4185	 60	 1980	 1	 0
2	 36	 0	 0	 0.5522	 -60	 1920	 0	 0
3	 1	 0	 0	 1.4884	 -60	 1860	 0	 0
3	 2	 0	 0	 3.2938	 60	 1920	 1	 1
3	 3	 0	 1	 1.9566	 60	 1980	 1	 0
3	 4	 0	 1	 0.5188	 60	 2040	 1	 0
3	 5	 0	 0	 2.9427	 60	 2100	 1	 0
3	 6	 0	 0	 3.3272	 60	 2160	 1	 0
3	 7	 0	 0	 1.3212	 60	 2220	 1	 1
3	 8	 0	 0	 1.8227	 -60	 2160	 0	 0
3	 9	 0	 1	 0.4854	 60	 2220	 1	 1
3	 10	 0	 1	 3.1935	 -60	 2160	 0	 0
3	 11	 0	 -1	 -1.0000	 -60	 2100	 -1	 -1
3	 12	 0	 0	 0.5689	 60	 2160	 1	 0
3	 13	 0	 1	 1.7893	 -60	 2100	 0	 1
3	 14	 0	 0	 0.4686	 60	 2160	 1	 1
3	 15	 0	 0	 1.3880	 60	 2220	 1	 1
3	 16	 0	 0	 0.5354	 -60	 2160	 0	 1
3	 17	 0	 1	 1.6891	 -60	 2100	 0	 0
3	 18	 1	 0	 0.7568	 60	 2160	 1	 1
3	 19	 0	 0	 3.2436	 -60	 2100	 0	 1
3	 20	 1	 1	 0.7811	 -60	 2040	 0	 1
