1	 1	 0	 0	 1.3507	 22	 22	 1	 0
1	 2	 1	 1	 0.8803	 0	 22	 0	 1
1	 3	 0	 0	 1.3215	 36	 58	 1	 0
1	 4	 0	 1	 1.3382	 23	 81	 1	 0
1	 5	 0	 0	 1.4218	 9	 90	 1	 0
1	 6	 0	 0	 1.5388	 40	 130	 1	 0
1	 7	 0	 0	 1.3215	 24	 154	 1	 1
1	 8	 1	 1	 1.8865	 0	 154	 0	 0
1	 9	 0	 0	 4.4642	 -21	 133	 0	 0
1	 10	 1	 0	 0.8192	 0	 133	 1	 1
1	 11	 1	 1	 9.0447	 16	 149	 1	 1
1	 12	 1	 0	 3.2537	 0	 149	 1	 0
1	 13	 1	 1	 0.8192	 0	 149	 0	 1
1	 14	 0	 1	 1.6057	 47	 196	 1	 0
1	 15	 1	 0	 3.2909	 0	 196	 0	 0
1	 16	 0	 1	 0.5692	 28	 224	 1	 1
1	 17	 1	 0	 6.0523	 -21	 203	 0	 0
1	 18	 0	 0	 2.7424	 64	 267	 1	 1
1	 19	 0	 1	 2.2242	 -71	 196	 0	 0
1	 20	 1	 0	 7.2225	 -3	 193	 0	 1
1	 21	 0	 1	 3.3275	 75	 268	 1	 1
1	 22	 0	 1	 4.5981	 2	 270	 1	 1
1	 23	 0	 1	 1.6391	 -46	 224	 0	 1
1	 24	 0	 0	 2.4916	 -81	 143	 0	 1
1	 25	 0	 1	 2.4917	 24	 167	 1	 0
1	 26	 0	 0	 1.0707	 19	 186	 1	 1
1	 27	 1	 0	 0.7196	 -8	 178	 0	 1
1	 28	 0	 0	 2.6923	 40	 218	 1	 1
1	 29	 0	 0	 1.5390	 -49	 169	 0	 1
1	 30	 0	 1	 4.0129	 17	 186	 1	 1
1	 31	 0	 0	 3.6451	 73	 259	 1	 1
1	 32	 0	 0	 0.4691	 40	 299	 1	 0
1	 33	 0	 0	 2.6421	 45	 344	 1	 1
1	 34	 0	 1	 1.2213	 45	 389	 1	 0
1	 35	 0	 1	 1.5555	 68	 457	 1	 0
1	 36	 0	 1	 2.3078	 12	 469	 1	 1
2	 1	 0	 1	 2.0236	 74	 543	 1	 0
2	 2	 0	 0	 1.1209	 85	 628	 1	 1
2	 3	 0	 0	 1.4886	 40	 668	 1	 1
2	 4	 0	 1	 0.8033	 27	 695	 1	 0
2	 5	 0	 0	 2.1072	 -84	 611	 0	 1
2	 6	 0	 1	 2.1908	 55	 666	 1	 0
2	 7	 0	 1	 1.5555	 34	 700	 1	 1
2	 8	 0	 1	 1.3549	 45	 745	 1	 0
2	 9	 0	 1	 0.5859	 -13	 732	 0	 1
2	 10	 0	 0	 0.9035	 -24	 708	 0	 0
2	 11	 0	 0	 2.7424	 -40	 668	 0	 0
